dataset,k,nthreads,name,distance,sparsity,measure,value
tiny,50,4,MC_KM++,MKL,sparse,time,0.9112684726715088
tiny,50,4,MC_KM++,MKL,sparse,cost,34262.54948475957
tiny,50,4,MC_KMLS++,MKL,sparse,time,3.510014772415161
tiny,50,4,MC_KMLS++,MKL,sparse,cost,32432.51408073306
tiny,50,4,MC_KM++,HELL,sparse,time,0.9314658641815186
tiny,50,4,MC_KM++,HELL,sparse,cost,19120.60267484322
tiny,50,4,MC_KMLS++,HELL,sparse,time,2.5107178688049316
tiny,50,4,MC_KMLS++,HELL,sparse,cost,19033.402191066212
tiny,50,4,MC_KM++,BATMET,sparse,time,0.7218241691589355
tiny,50,4,MC_KM++,BATMET,sparse,cost,17975.152007260753
tiny,50,4,MC_KMLS++,BATMET,sparse,time,2.1721999645233154
tiny,50,4,MC_KMLS++,BATMET,sparse,cost,17998.758181892
tiny,50,4,MC_KM++,BATDIST,sparse,time,0.6960747241973877
tiny,50,4,MC_KM++,BATDIST,sparse,cost,18392.114889964956
tiny,50,4,MC_KMLS++,BATDIST,sparse,time,2.061898946762085
tiny,50,4,MC_KMLS++,BATDIST,sparse,cost,18155.191926959757
tiny,50,4,MC_KM++,RMKL,sparse,time,0.874028205871582
tiny,50,4,MC_KM++,RMKL,sparse,cost,30988.513485342264
tiny,50,4,MC_KMLS++,RMKL,sparse,time,2.849771022796631
tiny,50,4,MC_KMLS++,RMKL,sparse,cost,32404.266981095076
tiny,50,4,SKL_KMplusplus,SQRL2,dense,time,3.9734911918640137
tiny,50,4,SKL_KMplusplus,SQRL2,dense,cost,1226519.0747863324
tiny,50,4,MC_KMplusplus,SQRL2,dense,time,0.7876088619232178
tiny,50,4,MC_KMplusplus,SQRL2,dense,cost,30647150
tiny,50,4,MC_KMpp_and_LSpp,SQRL2,dense,time,2.751210927963257
tiny,50,4,MC_KMplusplusLSpp,SQRL2,dense,cost,29480768
tiny,100,4,SKL_KMplusplus,SQRL2,sparse,time,9.51398515701294
tiny,100,4,SKL_KMplusplus,SQRL2,sparse,cost,28890958
tiny,100,4,MC_KMplusplus,SQRL2,sparse,time,2.0593838691711426
tiny,100,4,MC_KMplusplus,SQRL2,sparse,cost,28496334.622279007
tiny,100,4,MC_KMpp_and_LSpp,SQRL2,sparse,time,6.3182032108306885
tiny,100,4,MC_KMplusplusLSpp,SQRL2,sparse,cost,27781724.183808252
tiny,100,4,MC_KM++,JSD,sparse,time,2.0976974964141846
tiny,100,4,MC_KM++,JSD,sparse,cost,6298.60652180016
tiny,100,4,MC_KMLS++,JSD,sparse,time,7.245388746261597
tiny,100,4,MC_KMLS++,JSD,sparse,cost,6256.4836453944445
tiny,100,4,MC_KM++,MKL,sparse,time,1.9442808628082275
tiny,100,4,MC_KM++,MKL,sparse,cost,33101.3063672781
tiny,100,4,MC_KMLS++,MKL,sparse,time,6.4742512702941895
tiny,100,4,MC_KMLS++,MKL,sparse,cost,30731.06992661953
tiny,100,4,MC_KM++,HELL,sparse,time,1.6373991966247559
tiny,100,4,MC_KM++,HELL,sparse,cost,18873.57060776108
tiny,100,4,MC_KMLS++,HELL,sparse,time,4.84206485748291
tiny,100,4,MC_KMLS++,HELL,sparse,cost,18542.16101855496
tiny,100,4,MC_KM++,BATMET,sparse,time,1.4180195331573486
tiny,100,4,MC_KM++,BATMET,sparse,cost,17736.2214181835
tiny,100,4,MC_KMLS++,BATMET,sparse,time,4.180855989456177
tiny,100,4,MC_KMLS++,BATMET,sparse,cost,17422.318768364115
tiny,100,4,MC_KM++,BATDIST,sparse,time,1.358166217803955
tiny,100,4,MC_KM++,BATDIST,sparse,cost,17691.347217903298
tiny,100,4,MC_KMLS++,BATDIST,sparse,time,4.132148265838623
tiny,100,4,MC_KMLS++,BATDIST,sparse,cost,17584.8520018219
tiny,100,4,MC_KM++,RMKL,sparse,time,1.836578369140625
tiny,100,4,MC_KM++,RMKL,sparse,cost,30785.85540908575
tiny,100,4,MC_KMLS++,RMKL,sparse,time,5.722161769866943
tiny,100,4,MC_KMLS++,RMKL,sparse,cost,30858.812460184097
tiny,100,4,SKL_KMplusplus,SQRL2,dense,time,7.58939790725708
tiny,100,4,SKL_KMplusplus,SQRL2,dense,cost,1198292.2696354592
tiny,100,4,MC_KMplusplus,SQRL2,dense,time,1.5771918296813965
tiny,100,4,MC_KMplusplus,SQRL2,dense,cost,29043718
tiny,100,4,MC_KMpp_and_LSpp,SQRL2,dense,time,5.234795570373535
